Age,Gender,Education,Country,Ethnicity,Neuroticism,Extraversion,Openness to experience,Agreeableness,Conscientiousness,Impulsiveness,Sensation seeking,Cannabis
25-34,Female,masters,UK,White,27,40,48,42,42,4,6,1
35-44,Male,left16,UK,White,40,44,41,38,40,3,5,0
45-54,Female,professional,UK,White,31,45,50,44,47,0,3,0
45-54,Female,university,UK,White,46,33,42,37,45,3,1,0
25-34,Female,university,UK,White,38,32,49,58,37,2,7,1
25-34,Male,masters,UK,White,36,39,40,38,33,7,6,0
18-24,Female,somecollege,UK,White,47,49,53,31,35,7,9,1
18-24,Male,university,UK,White,32,44,49,41,47,3,6,1
18-24,Female,university,UK,White,43,39,40,47,34,5,6,1
18-24,Female,masters,UK,White,25,45,40,42,47,4,4,0
35-44,Female,university,UK,White,34,39,47,44,48,1,6,0
25-34,Male,university,UK,White,48,27,44,44,45,1,5,1
45-54,Male,doctorate,UK,White,34,36,52,38,40,8,8,1
18-24,Female,university,UK,White,44,34,51,38,22,6,5,1
35-44,Male,university,UK,White,51,37,48,28,37,6,7,1
35-44,Female,masters,UK,White,31,36,47,47,47,1,0,0
18-24,Female,university,UK,White,42,40,47,47,43,3,6,1
25-34,Male,masters,UK,White,45,48,57,26,39,5,6,1
18-24,Female,university,UK,White,48,30,54,31,44,6,6,1
18-24,Male,somecollege,UK,White,50,30,28,54,32,5,2,0
35-44,Male,somecollege,UK,White,44,43,55,44,24,7,9,0
45-54,Male,left18,UK,White,46,33,42,52,32,3,7,0
18-24,Female,university,UK,White,39,34,53,48,48,4,5,1
18-24,Female,masters,UK,White,49,32,46,40,39,7,8,0
18-24,Female,university,UK,Asian,39,44,53,50,40,2,8,1
45-54,Male,university,UK,White,38,40,54,43,51,3,5,0
35-44,Male,university,UK,White,35,41,41,41,43,1,2,0
25-34,Male,university,UK,White,25,51,55,48,42,6,9,1
45-54,Female,left16,USA,White,59,28,36,53,26,3,6,0
18-24,Female,university,UK,White,37,45,48,42,47,2,3,0
18-24,Male,masters,UK,WhiteBlack,27,55,53,50,55,3,7,1
18-24,Female,leftbefore16,UK,White,39,40,45,51,42,4,5,1
35-44,Female,somecollege,USA,White,49,40,43,38,38,6,5,1
55-64,Female,university,UK,WhiteAsian,33,46,47,42,45,1,0,0
45-54,Female,university,USA,White,25,46,43,48,48,2,3,1
35-44,Male,university,UK,White,52,33,50,31,39,4,3,0
35-44,Female,professional,UK,White,50,35,41,35,32,7,8,0
25-34,Female,university,UK,White,40,45,44,49,46,3,6,0
25-34,Female,masters,Australia,White,40,37,55,52,44,4,7,0
18-24,Male,somecollege,USA,White,47,34,45,34,37,1,3,1
35-44,Female,university,Australia,White,46,41,48,42,46,4,7,1
35-44,Male,somecollege,UK,White,29,39,48,44,52,2,5,1
25-34,Female,university,UK,White,48,43,55,45,48,4,3,1
35-44,Female,left16,UK,White,30,46,42,48,40,1,2,1
45-54,Female,left16,UK,White,31,42,35,50,36,1,3,1
25-34,Male,left18,OtherC,White,50,28,53,38,31,2,2,1
35-44,Female,left18,USA,White,53,27,54,36,44,4,4,1
25-34,Male,left16,UK,White,40,30,47,48,39,3,9,1
18-24,Male,leftbefore16,UK,White,54,30,48,30,29,3,6,1
18-24,Male,somecollege,UK,White,26,47,52,34,31,2,9,1
45-54,Female,professional,UK,White,42,45,49,41,36,7,10,1
18-24,Male,left18,UK,White,27,43,49,47,42,4,7,1
18-24,Male,professional,UK,White,41,36,52,43,44,6,8,1
18-24,Male,somecollege,UK,White,43,28,52,35,29,1,4,1
18-24,Male,professional,OtherC,OtherE,25,37,49,47,43,1,5,1
55-64,Male,somecollege,USA,White,28,41,50,47,48,1,4,0
25-34,Male,masters,UK,White,36,48,60,39,42,2,6,0
25-34,Male,left16,OtherC,White,35,36,52,46,36,3,6,1
55-64,Female,somecollege,UK,White,49,35,55,42,27,6,9,1
35-44,Female,professional,Ireland,White,36,43,40,38,49,5,8,1
25-34,Female,professional,UK,White,30,39,36,43,39,6,0,0
18-24,Male,somecollege,USA,White,22,44,44,39,40,5,8,1
55-64,Female,professional,Canada,White,36,38,44,38,46,7,8,1
35-44,Male,left16,UK,White,35,40,44,43,45,1,2,1
45-54,Male,professional,OtherC,White,40,43,48,36,33,6,6,0
35-44,Male,university,UK,White,31,44,52,38,46,4,6,0
25-34,Male,university,UK,White,37,38,39,34,42,4,4,1
35-44,Male,left16,UK,White,50,32,38,31,36,2,6,0
35-44,Female,masters,OtherC,White,26,47,44,45,43,1,4,0
35-44,Male,university,UK,White,36,46,42,41,39,5,5,1
45-54,Female,masters,UK,White,40,43,45,42,44,3,2,1
18-24,Male,somecollege,UK,White,40,43,50,44,34,8,7,1
55-64,Male,left16,USA,White,34,38,45,48,45,3,5,1
35-44,Male,left16,UK,White,45,38,35,40,40,3,5,0
18-24,Female,left17,USA,White,23,52,49,44,44,6,10,1
35-44,Female,left16,UK,White,34,41,41,32,44,3,4,0
25-34,Female,masters,UK,White,39,39,48,40,48,2,5,0
25-34,Male,professional,OtherC,White,41,36,47,42,36,5,9,1
25-34,Male,masters,UK,White,34,42,37,50,53,5,9,1
35-44,Female,university,UK,White,38,38,39,38,48,1,0,1
45-54,Female,left16,Australia,White,42,38,40,40,43,2,2,1
18-24,Male,somecollege,USA,White,36,42,46,34,41,5,6,1
18-24,Male,somecollege,UK,White,33,43,45,38,32,4,6,1
35-44,Female,leftbefore16,UK,White,37,34,33,44,45,1,0,0
45-54,Female,university,Australia,White,29,44,53,55,56,4,6,1
55-64,Male,left18,UK,White,20,43,38,43,45,2,4,0
18-24,Male,professional,UK,White,45,30,44,30,31,6,6,1
35-44,Male,doctorate,UK,White,42,39,45,47,29,5,5,0
25-34,Female,professional,UK,White,43,47,46,43,42,3,9,1
55-64,Male,university,UK,White,45,40,50,30,46,3,2,0
45-54,Male,university,UK,White,46,29,41,45,35,3,8,1
18-24,Female,university,UK,White,33,41,41,53,49,4,2,0
25-34,Male,masters,UK,White,32,39,41,32,37,5,6,0
35-44,Female,masters,UK,White,20,54,43,52,51,4,2,0
25-34,Female,university,USA,White,45,40,52,29,38,4,5,0
18-24,Female,university,UK,White,49,45,39,49,37,5,6,1
45-54,Female,somecollege,UK,Asian,43,38,37,48,35,1,1,0
35-44,Female,university,UK,White,47,38,46,47,46,4,7,0
45-54,Male,masters,UK,White,24,48,45,47,53,0,2,0
45-54,Female,university,UK,White,26,42,45,37,43,1,1,0
45-54,Female,university,OtherC,Black,38,45,46,48,45,4,6,0
35-44,Male,left17,UK,White,43,45,52,35,34,4,9,1
25-34,Female,university,UK,White,44,44,39,38,44,3,5,0
18-24,Female,left16,UK,White,48,36,41,38,34,7,5,1
35-44,Female,professional,UK,White,51,41,43,47,36,2,5,0
45-54,Female,somecollege,USA,White,27,37,52,59,42,1,2,0
25-34,Female,masters,UK,White,20,35,39,40,54,1,3,0
18-24,Male,university,UK,White,48,37,47,44,28,5,2,0
25-34,Female,masters,OtherC,White,25,47,47,39,41,3,3,0
18-24,Female,university,UK,White,34,37,36,48,50,1,4,1
35-44,Female,masters,UK,White,28,48,47,36,49,3,9,1
18-24,Female,masters,UK,White,52,29,45,48,44,3,2,0
25-34,Female,masters,OtherC,WhiteBlack,46,26,43,43,45,2,0,0
25-34,Female,doctorate,UK,White,42,43,43,43,50,5,6,0
45-54,Female,masters,UK,White,38,33,38,43,48,2,2,0
18-24,Female,university,UK,White,34,38,48,42,44,1,4,0
25-34,Female,university,UK,White,21,46,45,52,50,2,5,0
18-24,Female,university,UK,White,31,39,42,49,41,7,9,0
45-54,Female,university,UK,White,28,40,49,45,49,4,4,0
18-24,Female,university,UK,White,46,41,41,45,45,2,4,0
35-44,Female,university,UK,White,42,44,49,36,47,3,5,0
35-44,Female,masters,UK,OtherE,58,43,35,41,51,3,3,0
25-34,Female,masters,UK,White,44,42,42,31,40,4,6,0
45-54,Female,somecollege,UK,White,31,37,46,44,39,8,3,1
45-54,Female,masters,UK,White,39,34,47,47,36,2,3,0
18-24,Female,university,UK,White,45,47,39,49,46,1,2,1
18-24,Male,university,UK,White,53,44,54,37,38,3,6,1
35-44,Male,masters,UK,White,46,34,45,41,42,3,5,0
35-44,Female,doctorate,UK,White,32,45,45,37,56,2,4,0
35-44,Female,professional,Australia,White,38,47,38,31,39,5,8,0
18-24,Female,masters,UK,White,21,52,45,50,53,4,8,0
35-44,Male,professional,UK,White,48,31,34,36,37,8,6,1
55-64,Female,somecollege,USA,White,27,46,49,39,39,5,5,1
35-44,Female,university,UK,White,55,29,33,47,28,2,1,0
35-44,Male,left16,UK,White,20,45,35,40,49,3,6,0
25-34,Female,masters,UK,OtherE,44,42,47,47,48,2,4,0
25-34,Female,university,UK,White,46,45,41,51,41,2,5,0
45-54,Female,masters,UK,White,46,39,48,50,51,1,1,0
18-24,Female,masters,UK,White,34,45,50,44,47,3,5,0
35-44,Female,somecollege,UK,White,25,40,38,43,27,8,5,0
18-24,Male,somecollege,UK,White,27,50,49,41,37,6,8,1
35-44,Female,professional,UK,White,39,48,56,41,48,5,6,0
18-24,Female,somecollege,USA,White,42,40,42,46,39,3,9,1
25-34,Male,university,UK,White,33,41,44,35,47,7,7,0
18-24,Male,professional,UK,White,43,36,54,36,40,5,7,1
18-24,Male,somecollege,UK,White,39,42,44,48,28,4,8,1
25-34,Female,left16,UK,White,31,50,49,49,43,3,6,1
55-64,Female,somecollege,USA,White,24,39,48,37,45,5,6,1
35-44,Male,leftbefore16,UK,White,30,40,42,39,46,3,7,1
35-44,Female,university,UK,White,40,37,44,32,52,3,3,0
35-44,Female,professional,USA,White,14,46,47,46,54,2,5,1
25-34,Male,professional,OtherC,WhiteBlack,35,46,46,47,46,4,8,1
35-44,Male,left16,UK,White,32,36,42,35,37,7,8,1
45-54,Male,professional,OtherC,White,39,41,43,34,45,3,8,0
18-24,Male,left16,UK,White,23,45,51,49,48,5,9,1
55-64,Female,professional,Canada,White,32,37,44,38,46,6,9,1
45-54,Female,professional,USA,White,36,41,42,46,44,3,4,1
18-24,Male,somecollege,UK,White,41,39,48,43,35,5,7,1
45-54,Female,masters,UK,White,43,36,42,54,43,2,2,0
18-24,Male,somecollege,USA,White,46,47,51,44,34,8,9,1
18-24,Male,somecollege,USA,White,41,28,38,29,46,5,9,1
18-24,Male,somecollege,USA,White,54,33,51,39,34,5,8,1
25-34,Male,university,USA,White,29,34,43,33,43,2,5,1
35-44,Female,somecollege,USA,White,40,42,48,49,45,2,4,1
55-64,Female,masters,USA,White,15,47,57,51,34,2,4,1
18-24,Male,university,UK,White,31,40,38,52,36,3,9,1
45-54,Male,somecollege,USA,White,35,40,52,55,41,2,6,1
25-34,Male,university,UK,White,21,48,54,44,49,5,10,1
55-64,Female,professional,Canada,White,48,34,36,50,30,8,5,1
25-34,Male,somecollege,UK,White,27,46,52,44,37,4,10,1
25-34,Male,university,UK,White,29,42,42,51,46,5,9,1
35-44,Male,university,UK,White,25,41,45,41,39,3,4,1
25-34,Female,masters,UK,White,54,38,44,32,37,4,6,1
25-34,Female,leftbefore16,USA,White,33,44,41,37,44,7,5,1
35-44,Female,masters,UK,White,37,39,43,48,40,6,9,0
45-54,Female,somecollege,USA,White,46,41,45,39,34,7,9,1
45-54,Male,professional,Ireland,White,27,48,44,39,47,2,6,1
25-34,Female,university,UK,White,35,47,52,44,42,5,6,1
55-64,Male,masters,UK,White,29,33,51,37,46,1,3,0
18-24,Male,left18,UK,White,41,30,43,52,28,7,7,1
35-44,Male,masters,UK,White,27,44,45,34,44,6,7,0
35-44,Female,masters,UK,White,34,43,44,45,52,2,1,0
45-54,Female,masters,UK,White,32,40,43,41,31,8,4,0
35-44,Female,doctorate,UK,White,36,40,37,43,44,1,5,0
35-44,Female,professional,UK,White,32,36,42,37,44,2,1,0
35-44,Male,university,UK,White,35,37,40,40,45,3,5,0
35-44,Male,doctorate,UK,White,21,33,35,54,46,0,3,1
25-34,Female,doctorate,UK,White,48,32,37,53,44,1,1,1
45-54,Female,doctorate,UK,WhiteBlack,31,43,50,45,41,3,0,0
35-44,Female,doctorate,UK,White,41,38,56,45,49,1,0,0
18-24,Female,university,UK,White,40,39,44,56,49,1,4,0
18-24,Female,university,UK,White,48,37,37,37,47,1,0,0
25-34,Female,masters,UK,White,29,51,49,44,44,2,6,1
35-44,Female,doctorate,UK,White,48,41,46,36,37,3,9,1
35-44,Male,university,UK,White,28,38,45,50,38,2,6,1
45-54,Female,university,UK,White,29,42,43,46,42,4,5,0
35-44,Female,professional,Canada,White,32,41,39,48,45,1,2,0
18-24,Female,university,UK,White,33,36,36,42,52,2,6,0
25-34,Male,left16,UK,White,33,51,52,51,45,5,10,1
45-54,Male,university,UK,White,34,35,49,44,41,3,4,0
35-44,Male,masters,UK,White,29,46,52,56,53,3,7,0
25-34,Female,masters,UK,Black,26,44,44,51,50,2,7,1
25-34,Male,somecollege,UK,White,38,38,34,47,37,3,6,1
45-54,Male,university,UK,White,36,38,44,38,39,7,4,0
18-24,Female,university,UK,White,31,39,44,42,47,3,4,0
18-24,Male,somecollege,USA,White,23,49,53,32,48,2,7,1
35-44,Female,masters,USA,White,47,41,53,55,34,7,10,1
25-34,Female,university,UK,White,34,45,37,43,54,4,2,0
45-54,Female,masters,UK,White,31,53,59,53,43,7,7,1
25-34,Male,masters,UK,White,42,43,49,47,34,4,2,0
18-24,Male,somecollege,Australia,White,46,48,54,39,34,4,7,1
18-24,Male,somecollege,USA,White,29,44,46,44,42,7,7,1
35-44,Female,left16,UK,White,32,46,41,46,49,2,3,0
25-34,Male,masters,OtherC,OtherE,31,51,43,42,34,5,8,1
45-54,Male,somecollege,Canada,White,48,36,48,35,33,7,7,1
45-54,Male,professional,UK,White,47,30,55,40,31,8,10,1
18-24,Male,masters,UK,White,42,41,49,41,38,6,6,1
25-34,Male,doctorate,Ireland,White,28,49,57,37,39,7,7,1
25-34,Female,masters,UK,Black,24,43,46,50,43,1,1,0
18-24,Female,university,UK,White,33,32,41,42,51,1,3,0
25-34,Female,university,UK,White,36,41,48,55,53,5,2,0
25-34,Female,doctorate,UK,White,48,31,44,34,31,3,4,1
18-24,Male,university,UK,White,32,37,50,45,38,5,8,1
25-34,Female,doctorate,UK,White,47,37,47,45,40,2,5,0
18-24,Male,left18,UK,White,19,38,47,42,35,6,7,1
35-44,Male,somecollege,UK,White,45,35,54,41,44,3,6,1
45-54,Male,university,UK,White,21,53,47,45,39,4,5,0
25-34,Male,somecollege,UK,White,30,46,49,41,41,4,8,1
18-24,Male,professional,UK,White,32,41,43,38,39,0,4,1
35-44,Male,professional,UK,White,31,45,46,39,43,6,9,1
18-24,Male,university,UK,White,33,40,55,48,48,5,5,1
18-24,Female,somecollege,UK,White,48,47,49,47,48,2,6,0
18-24,Female,masters,UK,Asian,44,35,42,39,34,2,8,0
35-44,Male,professional,UK,White,35,38,41,38,36,4,9,1
18-24,Male,professional,UK,White,38,40,34,42,44,6,8,1
25-34,Male,university,UK,White,41,38,49,39,37,3,5,1
18-24,Male,somecollege,UK,White,56,24,44,43,26,1,1,0
18-24,Female,somecollege,UK,White,42,38,42,35,51,2,9,1
45-54,Male,doctorate,UK,White,38,34,45,43,26,2,0,0
35-44,Male,somecollege,UK,White,24,40,37,39,43,6,8,1
25-34,Male,masters,UK,White,49,27,49,45,46,1,3,0
35-44,Female,university,UK,White,41,39,43,42,37,1,4,1
35-44,Female,professional,UK,White,45,35,54,35,30,7,10,1
25-34,Male,university,Australia,White,32,41,51,40,36,6,7,1
18-24,Female,somecollege,Canada,White,51,46,55,41,35,6,9,0
45-54,Female,leftbefore16,Australia,White,27,44,39,49,44,1,0,1
35-44,Male,somecollege,USA,White,46,47,44,35,46,6,9,1
55-64,Female,masters,UK,White,44,35,43,43,41,8,7,0
55-64,Male,somecollege,UK,White,40,35,36,33,41,5,4,0
25-34,Female,university,UK,White,34,39,39,44,45,2,4,0
45-54,Female,masters,UK,White,38,35,44,41,38,2,3,0
35-44,Male,masters,UK,White,25,38,47,46,46,1,3,0
35-44,Male,professional,UK,White,27,36,43,39,40,4,5,1
35-44,Female,masters,UK,White,34,37,46,51,53,2,2,0
55-64,Male,university,UK,White,28,42,49,33,51,3,6,1
45-54,Female,university,Canada,OtherE,21,38,53,53,42,2,6,1
35-44,Male,university,USA,White,35,33,52,43,37,3,4,1
55-64,Male,somecollege,UK,White,34,32,41,45,34,3,7,1
35-44,Female,somecollege,OtherC,White,45,41,49,37,43,7,9,1
45-54,Male,leftbefore16,UK,White,26,47,49,48,49,2,7,1
35-44,Female,university,UK,White,32,44,50,41,42,6,8,1
55-64,Male,university,UK,White,23,45,45,37,41,2,6,0
35-44,Male,somecollege,USA,White,28,38,42,39,44,2,4,1
18-24,Male,somecollege,UK,White,23,42,53,55,43,2,5,1
18-24,Female,university,UK,White,34,33,36,40,44,5,3,0
25-34,Male,university,UK,White,35,52,48,42,38,5,7,1
18-24,Male,somecollege,UK,White,40,36,43,48,49,1,4,1
18-24,Male,professional,UK,White,27,38,41,47,45,2,1,1
18-24,Male,university,UK,White,45,41,50,39,32,4,9,1
18-24,Male,somecollege,USA,White,30,39,40,50,45,1,3,1
25-34,Female,masters,UK,White,41,42,51,44,49,3,4,1
18-24,Male,university,USA,White,41,45,52,54,42,6,8,1
18-24,Male,professional,UK,White,43,47,49,36,40,6,10,1
18-24,Female,somecollege,USA,White,42,43,53,54,44,3,7,1
18-24,Male,somecollege,UK,White,35,29,37,39,28,7,3,1
35-44,Male,university,USA,White,28,34,44,44,44,2,3,1
18-24,Male,left16,OtherC,White,35,31,41,39,40,8,9,1
55-64,Male,university,UK,White,32,33,41,40,39,5,7,0
35-44,Male,somecollege,UK,White,48,45,52,42,49,6,8,1
35-44,Female,professional,UK,White,51,35,48,48,43,2,3,1
55-64,Male,professional,UK,White,35,38,46,39,39,1,2,1
25-34,Female,university,UK,White,27,49,48,49,46,4,4,0
35-44,Female,somecollege,UK,White,47,36,51,48,39,4,5,1
25-34,Female,masters,UK,White,39,44,51,53,44,3,10,1
18-24,Male,professional,UK,White,56,33,51,35,38,2,4,1
25-34,Female,masters,UK,WhiteBlack,39,44,42,44,41,4,5,0
18-24,Male,somecollege,Canada,White,23,41,51,41,30,4,6,1
25-34,Female,left16,Australia,White,30,42,47,39,43,7,8,1
35-44,Female,university,UK,White,43,40,39,43,42,3,2,0
18-24,Male,somecollege,UK,White,28,48,44,42,38,4,7,1
18-24,Female,university,UK,White,48,44,51,42,42,2,5,1
35-44,Male,left16,UK,WhiteAsian,42,41,48,41,40,3,4,1
18-24,Male,somecollege,UK,White,43,47,55,33,28,6,8,1
25-34,Female,university,UK,White,38,53,59,53,37,7,9,1
25-34,Male,university,UK,White,31,27,26,33,33,1,6,1
25-34,Male,university,UK,White,26,51,46,44,55,5,9,0
18-24,Female,left18,OtherC,White,48,41,55,51,46,2,7,1
25-34,Male,masters,OtherC,White,35,30,49,40,38,4,8,1
35-44,Male,somecollege,UK,White,24,41,50,51,37,6,6,1
45-54,Female,masters,UK,White,44,38,48,48,52,5,7,0
35-44,Female,university,UK,White,42,41,41,37,35,1,2,0
25-34,Male,left16,UK,White,32,40,42,37,47,5,7,1
45-54,Male,somecollege,UK,White,27,41,46,47,30,7,5,0
25-34,Female,left16,UK,White,43,42,38,46,39,2,5,0
25-34,Female,masters,UK,White,35,43,49,45,45,2,5,1
35-44,Female,left16,UK,White,40,36,36,43,28,4,5,1
35-44,Female,doctorate,UK,White,21,46,39,53,54,3,4,0
35-44,Male,masters,UK,White,34,40,46,50,41,3,7,0
25-34,Female,professional,UK,White,17,49,33,50,50,3,3,1
25-34,Male,somecollege,OtherC,White,51,38,53,52,28,8,6,1
25-34,Female,masters,UK,White,40,47,42,51,45,4,7,0
25-34,Male,doctorate,UK,White,27,43,55,50,38,4,6,1
18-24,Male,somecollege,USA,White,23,50,56,48,56,2,2,0
18-24,Female,masters,UK,WhiteAsian,42,42,42,44,47,3,5,0
18-24,Female,somecollege,Ireland,White,56,37,45,48,25,7,7,1
18-24,Male,somecollege,USA,White,40,44,46,42,40,5,9,1
18-24,Male,doctorate,UK,White,14,51,50,50,44,2,7,1
25-34,Male,university,Canada,White,36,33,40,40,37,4,9,1
18-24,Male,somecollege,USA,White,52,42,38,40,23,9,5,1
25-34,Female,university,Australia,White,24,45,55,50,43,3,7,1
18-24,Female,university,UK,White,47,45,50,49,30,6,3,1
18-24,Male,left16,UK,White,40,33,53,47,34,5,8,1
18-24,Male,somecollege,USA,White,42,41,58,48,42,4,9,1
18-24,Male,somecollege,USA,White,46,34,48,56,37,5,6,0
25-34,Male,masters,NewZealand,White,44,35,47,38,40,2,6,1
18-24,Female,professional,USA,OtherE,32,44,47,41,47,7,4,1
25-34,Male,university,Australia,White,46,41,50,46,47,1,8,0
18-24,Male,somecollege,USA,White,42,28,37,43,35,8,9,1
18-24,Female,masters,UK,Asian,41,30,33,49,44,5,3,0
45-54,Male,university,UK,White,48,30,43,39,28,4,7,1
45-54,Female,professional,Canada,White,46,31,44,41,38,3,5,1
18-24,Male,left18,OtherC,White,25,37,50,45,42,2,5,1
18-24,Female,somecollege,OtherC,White,21,43,52,41,28,4,7,1
25-34,Male,somecollege,USA,White,37,37,40,41,42,2,1,1
18-24,Male,somecollege,USA,WhiteAsian,41,44,51,39,38,4,6,1
18-24,Male,somecollege,Canada,White,54,40,58,40,37,6,8,1
45-54,Male,left18,UK,White,18,47,44,47,39,4,4,1
18-24,Female,professional,USA,White,46,24,45,46,42,1,3,1
35-44,Male,professional,USA,White,46,33,40,34,36,4,8,1
18-24,Male,somecollege,USA,OtherE,47,31,48,43,33,8,10,1
18-24,Female,somecollege,USA,White,44,37,52,46,38,5,9,1
18-24,Female,somecollege,USA,White,33,43,52,43,49,3,9,1
18-24,Male,masters,USA,White,49,34,52,43,44,3,8,1
18-24,Male,professional,OtherC,White,30,40,47,41,29,6,8,1
35-44,Male,professional,OtherC,White,44,36,47,38,43,7,6,0
18-24,Male,professional,UK,White,21,48,42,39,33,8,8,0
18-24,Male,somecollege,UK,White,19,41,51,44,47,4,9,1
18-24,Male,university,Australia,White,34,37,52,39,36,7,8,1
18-24,Male,somecollege,USA,White,42,39,50,32,41,7,10,1
18-24,Male,somecollege,OtherC,White,44,44,48,36,31,2,5,1
25-34,Male,somecollege,UK,White,36,53,44,39,42,7,6,0
25-34,Male,university,UK,White,35,36,54,51,38,4,8,1
18-24,Male,somecollege,USA,White,47,36,44,39,49,2,5,1
18-24,Male,somecollege,USA,White,40,33,44,46,41,3,8,1
18-24,Female,university,UK,White,30,45,49,47,50,2,8,1
25-34,Female,somecollege,USA,White,37,47,51,41,47,3,9,1
35-44,Female,somecollege,UK,White,48,44,55,46,37,8,4,1
18-24,Male,somecollege,Canada,White,25,41,46,46,54,3,5,1
25-34,Male,somecollege,USA,White,41,37,45,47,34,5,7,1
18-24,Male,left18,Ireland,White,31,42,47,38,37,6,9,1
45-54,Female,university,USA,White,37,33,39,48,40,1,9,1
25-34,Male,somecollege,USA,White,41,32,43,49,42,3,6,0
18-24,Female,university,Canada,White,54,29,55,31,45,5,6,0
25-34,Male,somecollege,USA,White,33,41,44,40,35,7,8,1
18-24,Male,left17,Australia,White,32,45,51,47,35,8,9,1
18-24,Female,somecollege,USA,White,46,45,53,36,38,6,9,1
18-24,Male,university,USA,White,40,26,39,48,30,1,3,1
18-24,Male,professional,UK,White,21,34,37,54,41,3,3,1
18-24,Male,left18,USA,White,21,45,53,37,39,2,6,1
45-54,Female,university,USA,White,48,51,52,30,29,6,9,1
18-24,Male,somecollege,USA,White,47,35,46,34,35,7,9,1
25-34,Male,university,USA,White,41,36,51,32,45,3,7,0
18-24,Male,somecollege,UK,White,29,40,43,37,44,5,10,1
18-24,Male,somecollege,Canada,White,57,42,48,37,34,8,9,1
18-24,Female,somecollege,USA,White,37,33,46,46,47,3,4,1
45-54,Male,doctorate,Australia,White,42,41,52,57,44,2,7,1
25-34,Female,masters,UK,White,51,34,46,41,33,4,7,1
18-24,Male,somecollege,Australia,Asian,29,51,51,44,45,6,10,1
18-24,Female,university,USA,White,32,42,45,42,43,6,9,0
18-24,Male,somecollege,UK,White,35,47,51,40,45,3,9,0
18-24,Male,somecollege,USA,White,35,41,51,45,39,6,9,1
18-24,Male,somecollege,OtherC,BlackAsian,36,38,45,29,26,7,9,1
18-24,Male,university,Australia,White,42,24,26,49,31,2,2,1
18-24,Male,university,USA,White,41,44,47,36,50,3,7,1
18-24,Male,somecollege,USA,White,37,49,54,35,36,5,8,1
18-24,Male,university,OtherC,White,27,43,46,38,39,4,7,1
25-34,Female,doctorate,Australia,White,52,43,53,47,43,1,8,1
18-24,Male,somecollege,USA,White,37,44,57,51,40,1,7,1
18-24,Male,professional,UK,White,39,37,41,49,41,4,5,1
18-24,Male,somecollege,USA,White,45,34,47,47,41,3,8,1
25-34,Female,masters,USA,White,37,33,55,44,46,5,10,1
45-54,Female,doctorate,USA,White,36,41,46,38,36,6,8,0
25-34,Female,masters,USA,White,44,35,46,41,46,3,3,0
18-24,Male,university,USA,White,41,33,43,42,41,3,6,1
18-24,Male,university,Australia,White,21,41,46,41,30,4,6,1
45-54,Male,masters,USA,White,32,42,47,35,44,4,7,0
18-24,Male,somecollege,Australia,White,21,51,50,46,48,7,6,1
18-24,Male,left18,UK,White,43,40,58,44,30,7,8,1
25-34,Male,university,USA,White,38,30,50,24,42,6,9,1
18-24,Male,somecollege,USA,White,30,39,52,40,32,8,8,1
18-24,Male,somecollege,USA,White,29,40,48,54,50,3,4,1
25-34,Female,somecollege,USA,White,41,37,47,36,40,1,6,1
18-24,Female,somecollege,USA,White,39,45,53,50,38,4,7,1
35-44,Male,somecollege,USA,White,45,28,36,42,44,1,1,0
18-24,Female,professional,Canada,White,41,37,35,50,37,4,4,0
25-34,Male,university,USA,White,42,37,48,30,35,5,8,1
18-24,Male,left18,USA,White,41,44,53,36,39,7,9,1
55-64,Male,masters,USA,White,21,40,54,51,45,4,6,1
18-24,Male,masters,OtherC,White,40,33,49,41,45,4,7,1
18-24,Male,somecollege,USA,White,28,49,55,49,43,5,6,1
25-34,Male,university,USA,White,43,41,36,35,32,4,9,0
18-24,Male,somecollege,USA,White,36,40,55,44,40,4,6,1
18-24,Female,somecollege,USA,White,32,41,46,42,34,7,8,1
18-24,Male,left16,Canada,WhiteBlack,41,45,50,36,33,5,9,1
25-34,Male,somecollege,UK,White,26,43,57,53,45,3,6,1
18-24,Male,professional,USA,WhiteAsian,41,48,45,47,54,6,9,1
25-34,Male,left17,Canada,White,49,34,43,30,29,4,4,1
18-24,Male,somecollege,USA,White,26,54,53,42,48,6,8,1
18-24,Female,somecollege,OtherC,Asian,46,31,53,36,32,9,7,0
25-34,Male,somecollege,OtherC,White,42,45,53,40,28,7,8,1
18-24,Male,university,UK,White,36,39,45,39,39,8,9,1
18-24,Male,somecollege,Canada,White,20,48,58,48,48,2,6,1
18-24,Male,somecollege,Ireland,White,51,36,45,32,37,2,8,1
18-24,Female,somecollege,USA,White,34,47,42,39,36,6,6,1
18-24,Male,somecollege,Canada,White,40,32,50,47,36,4,5,1
18-24,Female,somecollege,USA,White,35,48,55,48,54,5,9,1
18-24,Female,somecollege,USA,White,24,42,51,49,52,2,7,1
45-54,Male,professional,UK,White,51,35,52,41,28,7,10,1
25-34,Male,university,USA,White,45,34,53,40,49,6,10,0
18-24,Male,masters,USA,White,38,50,47,32,34,5,7,1
25-34,Female,masters,USA,White,29,37,46,47,40,2,3,1
18-24,Female,somecollege,UK,White,50,27,47,38,23,2,0,0
25-34,Female,masters,USA,White,38,32,42,45,34,5,5,1
18-24,Female,somecollege,USA,OtherE,43,42,55,43,36,8,10,1
35-44,Male,professional,USA,OtherE,48,24,51,30,39,9,8,1
